land,rb,kreis,vb,gemeindename,_ars_gemeinde,kennzeichen,flaeche_km2,bev_geseamt,bev_maennl,bev_weibl,bev_pro_km2,plz,longitude,latitude,reisegebiet_name,urbanisierung_cat
Schleswig-Holstein,,Dithmarschen,Eider,Gaushorn,010515169035,Kreisangehörige Gemeinde,6.45,173,84,89,27,25782,"9,225318","54,194896",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Glüsing,010515169036,Kreisangehörige Gemeinde,4.69,111,57,54,24,25779,"9,216421","54,274547",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Groven,010515169038,Kreisangehörige Gemeinde,7.9,84,54,30,11,25774,"8,989147","54,300165",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Hemme,010515169047,Kreisangehörige Gemeinde,16.53,493,261,232,30,25774,"9,010966","54,28021",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Hennstedt,010515169049,Kreisangehörige Gemeinde,21.93,1975,984,991,90,25779,"9,168248","54,283636",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Hövede,010515169052,Kreisangehörige Gemeinde,2.94,60,32,28,20,25782,"9,293409","54,243806",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Hollingstedt,010515169053,Kreisangehörige Gemeinde,9.74,303,145,158,31,25788,"9,226797","54,290548",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Karolinenkoog,010515169058,Kreisangehörige Gemeinde,17.55,143,77,66,8,25774,"8,965495","54,292554",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Kleve,010515169060,Kreisangehörige Gemeinde,12.81,390,197,193,30,25779,"9,123229","54,295706",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Krempel,010515169061,Kreisangehörige Gemeinde,4.82,606,304,302,126,25774,"9,027607","54,320019",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Lehe,010515169065,Kreisangehörige Gemeinde,18.63,1108,545,563,59,25774,"9,025334","54,344168",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Linden,010515169068,Kreisangehörige Gemeinde,11.62,866,442,424,75,25791,"9,182428","54,252623",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Lunden,010515169071,Kreisangehörige Gemeinde,4.65,1701,866,835,366,25774,"9,024249","54,330568",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Norderheistedt,010515169080,Kreisangehörige Gemeinde,4.33,145,74,71,33,25779,"9,146139","54,245331",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Pahlen,010515169088,Kreisangehörige Gemeinde,10.8,1138,568,570,105,25794,"9,296387","54,267813",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Rehm-Flehde-Bargen,010515169092,Kreisangehörige Gemeinde,14.63,515,258,257,35,25776,"9,036287","54,303981",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Sankt Annen,010515169096,Kreisangehörige Gemeinde,14.89,325,173,152,22,25776,"9,07975","54,345413",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Schalkholz,010515169100,Kreisangehörige Gemeinde,12.52,585,294,291,47,25782,"9,257028","54,246244",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Schlichting,010515169102,Kreisangehörige Gemeinde,12.5,236,122,114,19,25779,"9,089378","54,31014",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Tellingstedt,010515169114,Kreisangehörige Gemeinde,21.1,2678,1311,1367,127,25782,"9,2822","54,219944",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Tielenhemme,010515169117,Kreisangehörige Gemeinde,12.68,161,76,85,13,25794,"9,398414","54,27746",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Wallen,010515169120,Kreisangehörige Gemeinde,1.86,32,15,17,17,25788,"9,269563","54,284766",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Welmbüttel,010515169125,Kreisangehörige Gemeinde,7.6,428,210,218,56,25782,"9,246826","54,196873",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Westerborstel,010515169131,Kreisangehörige Gemeinde,4.14,95,44,51,23,25782,"9,260601","54,220127",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Wiemerstedt,010515169133,Kreisangehörige Gemeinde,5.08,151,77,74,30,25779,"9,11111","54,269259",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Wrohm,010515169136,Kreisangehörige Gemeinde,11.45,706,371,335,62,25799,"9,379505","54,212642",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Süderdorf,010515169139,Kreisangehörige Gemeinde,16.21,345,177,168,21,25782,"9,343678","54,220732",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Süderheistedt,010515169141,Kreisangehörige Gemeinde,8.44,537,266,271,64,25779,"9,148463","54,23483",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Hemmingstedt,010515172048,Kreisangehörige Gemeinde,16.01,2878,1424,1454,180,25770,"9,073156","54,14876",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Lieth,010515172067,Kreisangehörige Gemeinde,4.66,372,166,206,80,25770,"9,060773","54,15531",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Heider Umland,Lohe-Rickelshof,010515172069,Kreisangehörige Gemeinde,5.39,2095,992,1103,389,25746,"9,065603","54,187725",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,Heider Umland,Neuenkirchen,010515172075,Kreisangehörige Gemeinde,25.14,949,494,455,38,25792,"8,987884","54,235602",übrig. Schleswig-Holstein,gering besiedelt
